algorithm,variant,ARI,RareACC,UltraRareACC,selection_score,variant_label
DESC,full_kmeans_triplet,0.5761569843391364,0.6621317632156679,0.41415659047376296,0.5508151126761891,Pondération complète KMeans + triplet
DESC,baseline,0.584871421983841,0.6309186159776163,0.42943350524351703,0.5484078477349914,Baseline
DESC,full_leiden,0.5929769568181854,0.6060562828195634,0.4111411154007396,0.5367247850128295,Pondération complète Leiden
DESC,full_leiden_triplet,0.5804625006943785,0.6333154854968108,0.38925025406433894,0.5343427467518428,Pondération complète Leiden + triplet
DESC,full_kmeans,0.5953364167283822,0.6348287673824331,0.3711133135124726,0.5337594992077627,Pondération complète KMeans
DESC,density_only_triplet_kmeans,0.5730804640133846,0.63021182387487,0.38275675096986356,0.528683012952706,Pondération densité + triplet KMeans
DESC,density_only,0.5920654354608667,0.5955566086047642,0.3545098994671981,0.5140439811776096,Pondération densité
scDeepCluster,full_leiden,0.4505687492455162,0.6451769025256388,0.3442294640068925,0.4799917052593492,Pondération complète Leiden
scDeepCluster,density_only,0.4714601914229925,0.6439963022304027,0.3130317812580434,0.4761627583038129,Pondération densité
scDeepCluster,full_kmeans,0.4613361127809675,0.6192818054260147,0.28422305243587365,0.4549469902142853,Pondération complète KMeans
scDeepCluster,full_kmeans_triplet,0.4983252058096513,0.508115693824233,0.2644757551553159,0.4236388849297334,Pondération complète KMeans + triplet
scDeepCluster,baseline,0.4218420186774356,0.6223875409022366,0.22234851459045007,0.42219269139004073,Baseline
scDeepCluster,full_leiden_triplet,0.484351098234949,0.46364049913195243,0.28869067296327183,0.4122274234433911,Pondération complète Leiden + triplet
scDeepCluster,density_only_triplet_kmeans,0.5018812958003865,0.5096553316856586,0.19744314256297124,0.40299325668300545,Pondération densité + triplet KMeans
scMAE,full_leiden,0.6483383316440043,0.5889436909865471,0.5178431463279741,0.5850417229861752,Pondération complète Leiden
scMAE,density_only,0.6359619524097845,0.5807457050839014,0.52663855690988,0.5811154048011886,Pondération densité
scMAE,full_kmeans,0.6117305167646642,0.602687951602853,0.5052117299638713,0.5732100661104629,Pondération complète KMeans
scMAE,baseline,0.6654574983739628,0.5617204806052656,0.491671681800623,0.5729498869266172,Baseline
scMAE,density_only_triplet_kmeans,0.5515185285410372,0.6149625805981604,0.34289364008974,0.503124916409646,Pondération densité + triplet KMeans
scMAE,full_kmeans_triplet,0.5487496922026048,0.614353488519125,0.3246835978321763,0.49592892618463535,Pondération complète KMeans + triplet
scMAE,full_leiden_triplet,0.4829800186399396,0.640197911821551,0.316939732540015,0.48003922100050184,Pondération complète Leiden + triplet
