phase,dataset,algorithm,variant,seed,metric,value,source_path
full,bbag094_spleen,scMAE,baseline,42,ARI,0.9195723061274058,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,42,RareACC,0.7092391304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,43,ARI,0.5465398243080167,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,43,RareACC,0.9538043478260868,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,44,ARI,0.917999636203841,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,44,RareACC,0.6603260869565217,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,45,ARI,0.9306017428971228,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,45,RareACC,0.6834239130434783,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,46,ARI,0.9295038505677408,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,baseline,46,RareACC,0.7146739130434783,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,baseline,42,ARI,0.1099951569389144,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,baseline,42,RareACC,0.8301630434782609,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,baseline,43,ARI,0.0886568671439363,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,baseline,43,RareACC,0.9089673913043478,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/baseline/scrbenchmark/results/analysis_results.csv
