dataset,algorithm,variant,metric,mean,std,n
baron_human_pancreas,DESC,baseline,ARI,0.9340148289777832,0.0105008500484243,5
baron_human_pancreas,DESC,baseline,BalancedRareACC,0.4659597801334018,0.03446685336522613,5
baron_human_pancreas,DESC,baseline,RareACC,0.7776340110905731,0.0019164918071467,5
baron_human_pancreas,DESC,baseline,UltraRareACC,0.4661016949152542,0.0,5
baron_human_pancreas,DESC,density_only,ARI,0.9341871256349256,0.0139700110065317,5
baron_human_pancreas,DESC,density_only,BalancedRareACC,0.43176576620314605,0.054722424033564115,5
baron_human_pancreas,DESC,density_only,RareACC,0.776894639556377,0.002127701373978,5
baron_human_pancreas,DESC,density_only,UltraRareACC,0.4661016949152542,0.0,5
baron_human_pancreas,DESC,density_only_triplet_kmeans,ARI,0.8324111394145437,0.1098220454607011,5
baron_human_pancreas,DESC,density_only_triplet_kmeans,BalancedRareACC,0.4687326111994851,0.03127797477825447,5
baron_human_pancreas,DESC,density_only_triplet_kmeans,RareACC,0.7765249537892791,0.0026465473314743,5
baron_human_pancreas,DESC,density_only_triplet_kmeans,UltraRareACC,0.4661016949152542,0.0,5
baron_human_pancreas,DESC,full_kmeans,ARI,0.9332370748233254,0.0150220061811903,5
baron_human_pancreas,DESC,full_kmeans,BalancedRareACC,0.45305156055745055,0.010139433916586183,5
baron_human_pancreas,DESC,full_kmeans,RareACC,0.776894639556377,0.002127701373978,5
baron_human_pancreas,DESC,full_kmeans,UltraRareACC,0.4661016949152542,0.0,5
baron_human_pancreas,DESC,full_kmeans_triplet,ARI,0.8579039564851982,0.1084191345436399,5
baron_human_pancreas,DESC,full_kmeans_triplet,BalancedRareACC,0.44576827341336556,0.04899080183673373,5
baron_human_pancreas,DESC,full_kmeans_triplet,RareACC,0.7767097966728281,0.0024100563420342,5
baron_human_pancreas,DESC,full_kmeans_triplet,UltraRareACC,0.4610169491525424,0.0113698371737277,5
baron_human_pancreas,DESC,full_leiden,ARI,0.9334079197805244,0.0148505807418936,5
baron_human_pancreas,DESC,full_leiden,BalancedRareACC,0.45241538747718807,0.017642191174306984,5
baron_human_pancreas,DESC,full_leiden,RareACC,0.7770794824399261,0.0017777619280657,5
baron_human_pancreas,DESC,full_leiden,UltraRareACC,0.4661016949152542,0.0,5
