dataset,dataset_key,reference_method,finetune_method,n_metrics_available,mean_delta_available,n_metrics_better,include_finetune,ARI_scraw,ARI_finetune,ARI_delta,BalancedACC_scraw,BalancedACC_finetune,BalancedACC_delta,RareACC_scraw,RareACC_finetune,RareACC_delta,Batch correction_scraw,Batch correction_finetune,Batch correction_delta
BBAG094 Zeisel,bbag094_zeisel,scRAW (stable_generalist),scRAW (best per dataset),4,0.1655855240880979,4,True,0.4301883295024661,0.742705253370915,0.31251692386844887,0.5695202861675058,0.7228827418079924,0.15336245564048656,0.6108108108108108,0.7891891891891892,0.17837837837837844,0.4000360971162749,0.4181204355813527,0.018084338465077787
BBAG094 spleen,bbag094_spleen,scRAW (stable_generalist),scRAW (best per dataset),4,0.14401701469296405,2,True,0.8700744463231944,0.8651916666417347,-0.00488277968145967,0.7309318547414984,0.9786341336639336,0.24770227892243524,0.5285326086956522,0.9877717391304348,0.4592391304347826,0.7909291345199329,0.6649385636160309,-0.12599057090390198
Baron human pancreas,baron_human_pancreas,scRAW (stable_generalist),scRAW (best per dataset),4,-0.0685494077672133,1,False,0.9158965181979905,0.8070033644573987,-0.10889315374059172,0.8702221194567779,0.736896322144748,-0.13332579731202987,0.8955637707948244,0.8059149722735675,-0.08964879852125696,0.5749552605057935,0.6326253790108188,0.05767011850502535
Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,0.05066487580493978,3,True,0.6107002323051303,0.7093414687259055,0.09864123642077527,0.7963247792238903,0.8672722300375935,0.07094745081370313,0.9667013527575442,0.9604578563995838,-0.006243496357960399,0.7303536766041685,0.7696679889474096,0.03931431234324112
Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,0.12851816633934784,4,True,0.5459843343891061,0.7127428805352357,0.16675854614612962,0.5641141790530496,0.7481940888943552,0.18407990984130562,0.678125,0.684375,0.006249999999999978,0.6843171205513716,0.8413013299213278,0.15698420936995616
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,-0.005603373669472528,2,False,0.9244654129213528,0.9172981302540634,-0.0071672826672893875,0.914858085822702,0.9328068028804568,0.017948717057754804,0.957920792079208,0.962046204620462,0.004125412541253981,0.6374791031394675,0.600158761529858,-0.03732034160960951
Pancreas,pancreas_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,-0.011067831288342378,1,False,0.5038730609858753,0.5425412163953215,0.038668155409446237,0.6575788271063779,0.6259952846520214,-0.03158354245435657,0.8626077586206896,0.8518318965517241,-0.010775862068965525,0.5651678746283664,0.5245877985888727,-0.04058007603949365
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scRAW (stable_generalist),scRAW (best per dataset),3,-0.11212579359729731,0,False,0.7910425667270795,0.5772380710405515,-0.21380449568652804,0.6337023795398855,0.5660075432150093,-0.06769483632487616,0.8292682926829268,0.774390243902439,-0.05487804878048774,0.5114658433707924,,
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,0.13636799388800974,4,True,0.2832245907007426,0.3608636340537866,0.077639043353044,0.3697830604541274,0.5162853643647106,0.14650230391058322,0.1263616557734204,0.3006535947712418,0.17429193899782142,0.6825639410339949,0.8296026303245853,0.14703868929059039
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),3,-0.038616821824922175,2,False,0.9035426457714304,0.5069851632880892,-0.3965574824833412,0.6921547708749113,0.6944304153344664,0.0022756444595550818,0.6352941176470588,0.9137254901960784,0.2784313725490196,0.9360064542874192,,
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),3,-0.0791431619245891,1,False,0.8785258855428295,0.5185973274040477,-0.3599285581387818,0.6905881694125846,0.5581071620963242,-0.13248100731626045,0.5776892430278885,0.8326693227091634,0.2549800796812749,0.8904693085602194,,
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),3,-0.03155567438974505,2,False,0.8207033800932935,0.6943974064785825,-0.12630597361471096,0.5295991526305686,0.5496101960993002,0.020011043468731615,0.7209302325581395,0.7325581395348837,0.011627906976744207,0.8025940805156815,,
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scRAW (stable_generalist),scRAW (best per dataset),4,0.014141221119241293,2,True,0.6827909308919632,0.6944717872322801,0.011680856340316903,0.5921954950000582,0.6416620218701151,0.049466526870056926,0.3228699551569506,0.3228699551569506,0.0,0.8705477948080688,0.8659652960746601,-0.0045824987334086575
