hdbscan_final,leiden_target14_final,true_label
30,1,acinar
30,1,acinar
30,1,acinar
30,1,acinar
30,1,acinar
30,1,acinar
28,5,beta
30,1,acinar
30,1,acinar
30,1,acinar
30,1,acinar
30,1,acinar
28,7,delta
28,7,delta
28,5,beta
30,8,activated_stellate
28,5,beta
30,1,acinar
14,4,ductal
28,5,beta
28,5,beta
28,2,alpha
30,4,ductal
28,5,beta
28,7,delta
28,2,alpha
28,5,beta
30,1,acinar
30,1,acinar
28,5,beta
28,7,delta
28,7,delta
28,7,delta
28,7,delta
28,5,beta
30,1,acinar
28,5,beta
28,5,beta
28,5,beta
28,7,delta
30,8,activated_stellate
30,5,beta
28,7,delta
3,8,activated_stellate
30,8,activated_stellate
3,8,activated_stellate
24,1,acinar
30,8,activated_stellate
28,7,delta
28,5,beta
28,7,delta
28,5,beta
24,1,acinar
28,5,beta
28,5,beta
3,8,activated_stellate
28,5,beta
28,5,beta
28,5,beta
28,5,beta
15,4,ductal
28,2,alpha
28,5,beta
30,4,ductal
30,4,ductal
24,1,acinar
28,2,alpha
28,5,beta
28,7,delta
28,0,alpha
28,5,beta
28,5,beta
28,5,beta
30,7,delta
28,5,beta
28,5,beta
28,7,delta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
24,1,acinar
3,8,activated_stellate
28,7,delta
28,7,delta
30,5,beta
28,5,beta
28,5,beta
30,5,beta
28,5,beta
28,5,beta
28,3,beta
28,5,beta
28,5,beta
28,5,beta
28,7,delta
28,7,delta
28,5,beta
30,7,delta
28,0,alpha
30,2,alpha
28,7,delta
28,5,beta
28,5,beta
28,5,beta
28,6,beta
30,1,acinar
28,7,delta
28,5,beta
28,5,beta
28,7,delta
28,5,beta
28,5,beta
28,5,beta
28,7,delta
28,5,beta
28,7,delta
28,5,beta
28,5,beta
28,5,beta
28,7,epsilon
28,5,beta
28,5,beta
28,5,beta
30,0,delta
28,5,beta
28,7,delta
28,5,beta
28,2,alpha
30,0,alpha
28,5,beta
30,1,acinar
30,0,alpha
28,5,beta
28,5,beta
28,2,alpha
28,5,beta
28,7,delta
28,5,beta
28,5,beta
28,5,beta
28,3,beta
28,5,beta
28,7,delta
28,5,beta
30,4,ductal
14,4,ductal
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,7,delta
28,5,beta
3,8,activated_stellate
28,5,beta
28,5,beta
30,0,alpha
28,5,beta
28,2,alpha
28,5,beta
30,9,gamma
28,5,beta
28,5,beta
28,3,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
30,1,acinar
28,5,beta
24,1,acinar
28,5,beta
28,5,beta
28,5,beta
30,1,acinar
28,7,delta
28,5,beta
28,7,delta
28,5,beta
30,1,acinar
30,2,alpha
28,5,beta
28,0,alpha
28,5,beta
28,2,alpha
7,10,endothelial
28,5,beta
28,5,beta
30,2,alpha
28,7,delta
28,5,beta
28,5,beta
28,7,delta
28,5,beta
19,9,gamma
28,2,alpha
28,5,beta
28,5,beta
28,7,delta
28,2,alpha
30,4,ductal
28,5,beta
28,0,alpha
28,5,beta
30,4,ductal
30,2,alpha
15,4,ductal
28,5,beta
28,3,beta
28,2,alpha
28,5,beta
28,5,beta
30,8,quiescent_stellate
30,4,ductal
30,4,ductal
30,8,endothelial
3,8,activated_stellate
28,5,beta
28,7,delta
21,9,gamma
28,5,beta
28,3,beta
28,5,beta
28,2,alpha
28,5,beta
28,5,beta
28,7,delta
30,4,ductal
28,5,beta
28,7,delta
28,7,delta
28,5,beta
28,7,delta
30,5,beta
3,8,activated_stellate
28,3,beta
28,5,beta
28,7,delta
28,5,beta
30,8,quiescent_stellate
28,5,beta
24,1,acinar
28,2,alpha
28,7,delta
28,5,beta
28,2,alpha
28,5,beta
30,10,endothelial
28,7,delta
28,7,delta
28,5,beta
28,5,beta
28,7,delta
19,9,gamma
28,0,alpha
28,5,beta
28,5,beta
28,5,beta
30,4,ductal
28,7,delta
28,2,alpha
28,5,beta
21,9,gamma
28,5,beta
28,5,beta
30,5,beta
30,8,quiescent_stellate
28,0,alpha
28,7,delta
28,0,alpha
7,10,endothelial
28,0,alpha
28,7,delta
28,5,beta
30,9,gamma
30,4,ductal
28,2,alpha
30,0,alpha
28,7,delta
28,5,beta
28,5,beta
14,4,ductal
28,2,alpha
28,5,beta
28,7,delta
6,11,macrophage
30,10,endothelial
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
28,5,beta
30,9,gamma
30,10,endothelial
28,5,beta
28,5,beta
28,5,beta
28,7,delta
28,5,beta
30,9,gamma
30,9,epsilon
28,7,delta
28,5,beta
28,5,beta
21,9,gamma
28,5,beta
30,9,beta
28,3,beta
28,5,beta
28,5,beta
7,10,endothelial
28,5,beta
28,7,delta
28,2,alpha
30,9,epsilon
28,2,alpha
30,8,quiescent_stellate
28,0,alpha
28,2,alpha
28,5,beta
28,5,beta
30,4,ductal
28,5,beta
28,0,alpha
28,5,beta
28,0,alpha
28,5,beta
28,5,beta
28,7,delta
28,7,delta
28,5,beta
28,5,beta
28,5,beta
