hdbscan_final,leiden_target14_final,true_label
35,3,acinar
35,3,acinar
35,3,acinar
35,3,acinar
35,3,acinar
35,3,acinar
31,0,beta
35,3,acinar
35,3,acinar
35,3,acinar
35,3,acinar
35,3,acinar
27,6,delta
27,6,delta
35,11,beta
35,7,activated_stellate
31,0,beta
35,3,acinar
35,4,ductal
35,2,beta
31,2,beta
35,1,alpha
35,4,ductal
31,2,beta
27,6,delta
35,1,alpha
31,0,beta
35,3,acinar
35,3,acinar
31,2,beta
27,6,delta
27,6,delta
27,6,delta
27,6,delta
31,0,beta
35,3,acinar
31,2,beta
31,0,beta
35,11,beta
27,6,delta
35,7,activated_stellate
31,2,beta
27,6,delta
10,7,activated_stellate
35,7,activated_stellate
10,7,activated_stellate
35,3,acinar
35,7,activated_stellate
27,6,delta
31,0,beta
27,6,delta
31,2,beta
35,3,acinar
31,2,beta
35,0,beta
10,7,activated_stellate
31,2,beta
31,2,beta
31,0,beta
33,11,beta
35,4,ductal
35,1,alpha
33,11,beta
35,4,ductal
35,4,ductal
35,3,acinar
35,1,alpha
31,0,beta
27,6,delta
35,1,alpha
33,11,beta
35,11,beta
35,0,beta
35,6,delta
31,0,beta
31,2,beta
27,6,delta
31,0,beta
31,0,beta
31,2,beta
31,0,beta
35,0,beta
31,2,beta
35,3,acinar
35,7,activated_stellate
27,6,delta
27,6,delta
31,2,beta
33,11,beta
31,0,beta
31,2,beta
31,2,beta
31,2,beta
31,0,beta
31,2,beta
33,11,beta
31,0,beta
27,6,delta
27,6,delta
31,0,beta
35,6,delta
35,1,alpha
35,1,alpha
27,6,delta
31,0,beta
31,0,beta
33,11,beta
31,0,beta
35,3,acinar
27,6,delta
31,0,beta
35,0,beta
27,6,delta
31,2,beta
31,2,beta
35,2,beta
27,6,delta
31,0,beta
27,6,delta
31,2,beta
31,0,beta
31,0,beta
27,6,epsilon
31,2,beta
31,0,beta
31,2,beta
35,1,delta
35,0,beta
27,6,delta
31,2,beta
35,1,alpha
35,8,alpha
35,2,beta
35,3,acinar
35,1,alpha
31,0,beta
31,2,beta
35,1,alpha
31,2,beta
27,6,delta
33,11,beta
31,0,beta
35,0,beta
35,0,beta
31,0,beta
27,6,delta
35,0,beta
35,4,ductal
15,4,ductal
31,0,beta
35,11,beta
31,2,beta
31,2,beta
27,6,delta
31,0,beta
10,7,activated_stellate
31,0,beta
31,0,beta
35,1,alpha
31,0,beta
35,1,alpha
31,2,beta
23,9,gamma
31,0,beta
35,0,beta
35,11,beta
33,11,beta
31,2,beta
31,0,beta
35,0,beta
35,3,acinar
33,11,beta
35,3,acinar
31,2,beta
31,2,beta
31,0,beta
