hdbscan_final,leiden_target14_final,true_label
4,2,acinar
4,2,acinar
4,2,acinar
4,2,acinar
4,2,acinar
4,2,acinar
10,0,beta
4,2,acinar
4,2,acinar
4,2,acinar
4,2,acinar
4,2,acinar
9,6,delta
9,6,delta
10,0,beta
0,7,activated_stellate
10,0,beta
4,2,acinar
2,3,ductal
10,0,beta
10,0,beta
11,1,alpha
2,3,ductal
10,0,beta
9,6,delta
11,1,alpha
10,0,beta
4,2,acinar
4,2,acinar
10,0,beta
9,6,delta
9,6,delta
9,6,delta
9,6,delta
10,0,beta
4,2,acinar
10,0,beta
10,0,beta
10,0,beta
9,6,delta
0,7,activated_stellate
10,0,beta
9,6,delta
0,7,activated_stellate
0,7,activated_stellate
0,7,activated_stellate
4,2,acinar
0,7,activated_stellate
9,6,delta
10,0,beta
9,6,delta
10,0,beta
4,2,acinar
10,4,beta
10,0,beta
0,7,activated_stellate
10,0,beta
10,0,beta
10,0,beta
10,0,beta
2,3,ductal
11,1,alpha
10,0,beta
2,3,ductal
2,3,ductal
4,2,acinar
11,1,alpha
10,0,beta
9,6,delta
11,1,alpha
10,0,beta
10,0,beta
10,0,beta
9,6,delta
10,0,beta
10,0,beta
9,6,delta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
4,2,acinar
0,7,activated_stellate
9,6,delta
9,6,delta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
9,6,delta
9,6,delta
10,0,beta
9,6,delta
11,1,alpha
11,1,alpha
9,6,delta
10,0,beta
10,0,beta
12,0,beta
10,0,beta
4,2,acinar
9,6,delta
10,0,beta
10,0,beta
9,6,delta
10,0,beta
10,0,beta
10,0,beta
9,6,delta
10,0,beta
9,6,delta
10,0,beta
10,0,beta
10,0,beta
9,6,epsilon
10,0,beta
10,0,beta
10,0,beta
11,8,delta
10,0,beta
9,6,delta
10,0,beta
11,1,alpha
11,8,alpha
10,0,beta
4,2,acinar
11,1,alpha
10,0,beta
10,0,beta
11,1,alpha
10,0,beta
9,6,delta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
9,6,delta
10,0,beta
2,3,ductal
2,3,ductal
10,0,beta
10,0,beta
10,0,beta
10,0,beta
9,6,delta
10,0,beta
0,7,activated_stellate
10,0,beta
10,0,beta
11,1,alpha
10,0,beta
11,1,alpha
10,4,beta
6,9,gamma
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
10,0,beta
4,2,acinar
10,0,beta
4,2,acinar
10,0,beta
10,0,beta
10,0,beta
4,2,acinar
9,6,delta
10,0,beta
9,6,delta
10,0,beta
4,2,acinar
11,1,alpha
10,0,beta
11,1,alpha
10,0,beta
11,1,alpha
1,10,endothelial
10,0,beta
10,0,beta
11,1,alpha
9,6,delta
10,0,beta
10,0,beta
9,6,delta
10,0,beta
6,9,gamma
11,1,alpha
10,0,beta
10,0,beta
9,6,delta
11,1,alpha
2,3,ductal
10,0,beta
11,1,alpha
10,0,beta
2,3,ductal
11,1,alpha
2,3,ductal
10,0,beta
10,0,beta
11,1,alpha
10,0,beta
10,0,beta
0,7,quiescent_stellate
2,3,ductal
5,11,ductal
1,10,endothelial
0,7,activated_stellate
10,0,beta
9,6,delta
6,9,gamma
10,0,beta
10,0,beta
10,0,beta
11,1,alpha
10,0,beta
10,0,beta
9,6,delta
2,3,ductal
10,0,beta
9,6,delta
9,6,delta
10,0,beta
9,6,delta
10,0,beta
0,7,activated_stellate
10,0,beta
10,0,beta
9,6,delta
10,0,beta
0,7,quiescent_stellate
10,0,beta
4,2,acinar
11,1,alpha
9,6,delta
10,0,beta
11,1,alpha
10,0,beta
1,10,endothelial
9,6,delta
9,6,delta
10,4,beta
10,0,beta
9,6,delta
6,9,gamma
11,1,alpha
10,0,beta
10,0,beta
10,0,beta
4,2,ductal
9,6,delta
11,1,alpha
10,0,beta
6,9,gamma
10,0,beta
10,0,beta
10,0,beta
0,7,quiescent_stellate
11,1,alpha
9,6,delta
11,1,alpha
1,10,endothelial
11,1,alpha
9,6,delta
10,0,beta
6,9,gamma
2,3,ductal
11,1,alpha
11,8,alpha
9,6,delta
10,0,beta
