hdbscan_final,leiden_target14_final,true_label
3,1,acinar
3,1,acinar
3,1,acinar
3,1,acinar
3,1,acinar
3,1,acinar
10,3,beta
3,1,acinar
3,1,acinar
3,1,acinar
3,1,acinar
3,1,acinar
9,6,delta
9,6,delta
10,3,beta
0,8,activated_stellate
10,3,beta
3,1,acinar
2,5,ductal
10,2,beta
10,2,beta
11,4,alpha
2,5,ductal
10,2,beta
9,6,delta
11,4,alpha
10,2,beta
3,1,acinar
3,1,acinar
10,3,beta
9,6,delta
9,6,delta
9,6,delta
9,6,delta
10,2,beta
3,1,acinar
10,3,beta
10,3,beta
10,3,beta
9,6,delta
0,8,activated_stellate
10,3,beta
9,6,delta
0,8,activated_stellate
0,8,activated_stellate
0,8,activated_stellate
3,1,acinar
0,8,activated_stellate
9,6,delta
10,3,beta
9,6,delta
10,2,beta
3,1,acinar
10,2,beta
10,2,beta
0,8,activated_stellate
10,2,beta
10,2,beta
10,2,beta
10,3,beta
2,5,ductal
11,4,alpha
10,3,beta
2,5,ductal
2,5,ductal
3,1,acinar
11,4,alpha
10,3,beta
9,6,delta
11,4,alpha
10,3,beta
10,3,beta
10,3,beta
9,6,delta
10,3,beta
10,2,beta
9,6,delta
10,2,beta
10,2,beta
10,2,beta
10,3,beta
10,3,beta
10,3,beta
3,1,acinar
0,8,activated_stellate
9,6,delta
9,6,delta
10,2,beta
10,3,beta
10,2,beta
10,3,beta
10,2,beta
10,3,beta
10,2,beta
10,2,beta
10,3,beta
10,2,beta
9,6,delta
9,6,delta
10,3,beta
9,6,delta
11,4,alpha
11,4,alpha
9,6,delta
10,3,beta
10,2,beta
10,3,beta
10,3,beta
3,1,acinar
9,6,delta
10,3,beta
10,2,beta
9,6,delta
10,2,beta
10,2,beta
10,2,beta
9,6,delta
10,2,beta
9,6,delta
10,3,beta
10,2,beta
10,2,beta
9,6,epsilon
10,2,beta
10,3,beta
10,2,beta
11,0,delta
10,2,beta
9,6,delta
10,3,beta
11,4,alpha
11,0,alpha
10,2,beta
3,1,acinar
11,4,alpha
10,3,beta
