hdbscan_final,leiden_target14_final,true_label
10,2,acinar
10,2,acinar
10,2,acinar
10,2,acinar
10,2,acinar
10,2,acinar
18,0,beta
10,2,acinar
10,2,acinar
10,2,acinar
10,2,acinar
10,2,acinar
19,5,delta
19,5,delta
17,10,beta
8,7,activated_stellate
18,0,beta
10,2,acinar
20,4,ductal
18,0,beta
18,0,beta
14,1,alpha
12,4,ductal
18,0,beta
19,5,delta
14,1,alpha
18,0,beta
20,2,acinar
20,2,acinar
18,0,beta
19,5,delta
19,5,delta
19,5,delta
19,5,delta
18,0,beta
10,2,acinar
18,0,beta
18,0,beta
17,10,beta
19,5,delta
8,7,activated_stellate
18,0,beta
19,5,delta
8,7,activated_stellate
8,7,activated_stellate
8,7,activated_stellate
10,2,acinar
8,7,activated_stellate
19,5,delta
18,0,beta
19,5,delta
18,0,beta
10,2,acinar
18,0,beta
18,0,beta
8,7,activated_stellate
18,0,beta
18,6,beta
18,0,beta
17,10,beta
12,4,ductal
14,1,alpha
17,10,beta
20,4,ductal
20,4,ductal
10,2,acinar
14,1,alpha
18,0,beta
19,5,delta
14,1,alpha
17,10,beta
20,10,beta
20,0,beta
20,5,delta
18,0,beta
18,0,beta
19,5,delta
18,0,beta
18,0,beta
18,0,beta
20,0,beta
18,0,beta
18,0,beta
10,2,acinar
8,7,activated_stellate
19,5,delta
19,5,delta
18,0,beta
17,10,beta
18,0,beta
18,0,beta
18,0,beta
18,0,beta
18,0,beta
18,6,beta
17,10,beta
18,0,beta
20,5,delta
19,5,delta
18,0,beta
19,5,delta
14,1,alpha
14,1,alpha
19,5,delta
18,0,beta
18,0,beta
17,10,beta
18,0,beta
20,2,acinar
19,5,delta
18,0,beta
18,0,beta
19,5,delta
18,0,beta
18,0,beta
18,0,beta
19,5,delta
18,0,beta
19,5,delta
18,0,beta
20,0,beta
18,0,beta
19,5,epsilon
18,0,beta
18,0,beta
18,0,beta
14,1,delta
18,0,beta
19,5,delta
18,0,beta
14,1,alpha
14,1,alpha
18,0,beta
10,2,acinar
14,1,alpha
18,0,beta
18,0,beta
14,1,alpha
18,0,beta
19,5,delta
20,10,beta
18,0,beta
18,0,beta
20,0,beta
18,0,beta
19,5,delta
18,0,beta
20,4,ductal
20,4,ductal
18,0,beta
20,10,beta
18,0,beta
18,0,beta
19,5,delta
18,0,beta
8,7,activated_stellate
18,0,beta
18,0,beta
20,1,alpha
18,0,beta
14,1,alpha
18,0,beta
5,8,gamma
18,0,beta
20,0,beta
20,10,beta
17,10,beta
18,0,beta
18,0,beta
18,0,beta
10,2,acinar
17,10,beta
10,2,acinar
18,0,beta
18,0,beta
18,0,beta
10,2,acinar
19,5,delta
18,0,beta
19,5,delta
18,0,beta
10,2,acinar
