dataset_order,dataset,dataset_key,method,run_dir,per_cell_path,n_cells,n_cell_type_categories,n_batch_categories,n_weights,point_size,panel_png,panel_pdf,run_panel_png,run_panel_pdf,error_correct,error_error_normal,error_error_rare,error_error_ultrarare
1,Baron human pancreas,baron_human_pancreas,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/baron_human_pancreas/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/baron_human_pancreas/seed_60/results/per_cell/per_cell_scraw_run0.csv,8569,15,4,8569,2.100595168631112,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/baron_human_pancreas/baron_human_pancreas_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/baron_human_pancreas/baron_human_pancreas_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/baron_human_pancreas/seed_60/figures/umaps/final_report/baron_human_pancreas_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/baron_human_pancreas/seed_60/figures/umaps/final_report/baron_human_pancreas_final_umap_panel.pdf,7585,742,217,25
2,BBAG094 spleen,bbag094_spleen,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_spleen/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_spleen/seed_60/results/per_cell/per_cell_scraw_run0.csv,9552,12,2,9552,1.8844221105527639,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/bbag094_spleen/bbag094_spleen_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/bbag094_spleen/bbag094_spleen_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_spleen/seed_60/figures/umaps/final_report/bbag094_spleen_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_spleen/seed_60/figures/umaps/final_report/bbag094_spleen_final_umap_panel.pdf,8020,1399,133,0
3,BBAG094 Zeisel,bbag094_zeisel,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_zeisel/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_zeisel/seed_60/results/per_cell/per_cell_scraw_run0.csv,3006,12,10,3006,5.9880239520958085,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/bbag094_zeisel/bbag094_zeisel_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/bbag094_zeisel/bbag094_zeisel_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_zeisel/seed_60/figures/umaps/final_report/bbag094_zeisel_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_zeisel/seed_60/figures/umaps/final_report/bbag094_zeisel_final_umap_panel.pdf,1747,1206,41,12
4,Human testis GSE112013,gse112013_human_testis_raw_counts,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/gse112013_human_testis_raw_counts/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/gse112013_human_testis_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,6490,13,6,6490,2.773497688751926,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/gse112013_human_testis_raw_counts/gse112013_human_testis_raw_counts_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/gse112013_human_testis_raw_counts/seed_60/figures/umaps/final_report/gse112013_human_testis_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/gse112013_human_testis_raw_counts/seed_60/figures/umaps/final_report/gse112013_human_testis_raw_counts_final_umap_panel.pdf,4218,2198,46,28
5,Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/kang_pbmc_gse96583_singlets_raw_counts/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/kang_pbmc_gse96583_singlets_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,24562,8,16,24562,1.0,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/kang_pbmc_gse96583_singlets_raw_counts/kang_pbmc_gse96583_singlets_raw_counts_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/kang_pbmc_gse96583_singlets_raw_counts/seed_60/figures/umaps/final_report/kang_pbmc_gse96583_singlets_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/kang_pbmc_gse96583_singlets_raw_counts/seed_60/figures/umaps/final_report/kang_pbmc_gse96583_singlets_raw_counts_final_umap_panel.pdf,18128,5794,640,0
6,Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/macaque_retina_gse118480_bipolar_raw_counts/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/macaque_retina_gse118480_bipolar_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,30302,12,30,30302,1.0,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/macaque_retina_gse118480_bipolar_raw_counts/macaque_retina_gse118480_bipolar_raw_counts_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/macaque_retina_gse118480_bipolar_raw_counts/seed_60/figures/umaps/final_report/macaque_retina_gse118480_bipolar_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/macaque_retina_gse118480_bipolar_raw_counts/seed_60/figures/umaps/final_report/macaque_retina_gse118480_bipolar_raw_counts_final_umap_panel.pdf,29358,751,193,0
7,Pancreas,pancreas_raw_counts,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,14908,15,8,14908,1.2074054199087738,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/pancreas_raw_counts/pancreas_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/pancreas_raw_counts/pancreas_raw_counts_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts/seed_60/figures/umaps/final_report/pancreas_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts/seed_60/figures/umaps/final_report/pancreas_raw_counts_final_umap_panel.pdf,12693,1909,299,7
8,Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2/seed_60/results/per_cell/per_cell_scraw_run0.csv,6339,17,4,6339,2.839564600094652,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2/seed_60/figures/umaps/final_report/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2/seed_60/figures/umaps/final_report/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2_final_umap_panel.pdf,3604,2685,0,50
9,Paul15 bone marrow,paul15_bone_marrow_raw_counts,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/paul15_bone_marrow_raw_counts/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/paul15_bone_marrow_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,2730,19,1,2730,6.593406593406593,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/paul15_bone_marrow_raw_counts/seed_60/figures/umaps/final_report/paul15_bone_marrow_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/paul15_bone_marrow_raw_counts/seed_60/figures/umaps/final_report/paul15_bone_marrow_raw_counts_final_umap_panel.pdf,1045,1285,369,31
10,SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scRAW (default),/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/Human_Pancreas_1_raw_counts/seed_60,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/Human_Pancreas_1_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,1937,14,1,1937,8.0,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/Human_Pancreas_1_raw_counts/Human_Pancreas_1_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/figures/04_final_umaps_trial206_datasets/per_dataset/Human_Pancreas_1_raw_counts/Human_Pancreas_1_raw_counts_final_umap_panel.pdf,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/Human_Pancreas_1_raw_counts/seed_60/figures/umaps/final_report/Human_Pancreas_1_raw_counts_final_umap_panel.png,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/Human_Pancreas_1_raw_counts/seed_60/figures/umaps/final_report/Human_Pancreas_1_raw_counts_final_umap_panel.pdf,1782,59,75,21
